ID,Text_Number,Name,Description,Contributor,Citation,Examples_Count,Media_Reference
B_05_4-kusu,14,Kukumbina na Kusudua,"While catching fish in a river, one of two sisters is tricked by a bush spirit. She seemed to be lucky, but the many fish she had caught turned out to be the gift of an evil spirit. The spirit did not show itself at the river, but only appeared on her family's doorstep the next morning. Then it demanded that the girl marry it. There was no way out of this situation and, thus, the girl Kusudua followed it down into the river, where both changed into snakes.  It is interesting to note that the sisters fished separately. One is said to have stayed upstream, the other downstream. This fact may indicate a potentially dangerous situation, as the sisters cannot help each other if one of them falls and is caught in a whirlpool. The story could therefore be understood as a warning to stay together and not fish on slippery rocks in the middle of the river. Otherwise one could drown. ",Brigitte Esau,"Brigitte Esau. 2026. Kukumbina na Kusudua. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",25,
B_06_4-paek,15,Pu paek,"A father is accompanied by his son on a hunting trip into the bush. The son is told to stay near the bush hut while the father goes hunting alone. Left alone, the son is visited by a bush spirit. The spirit measures the beds to find out which is his father's bed. It also warns the child that it will come back the next night and eat his father. The son is suspicious of the visitor and tells his father everything. The father doesn't believe a word he says and just wants him to enjoy the delicious food. But the son is right, and that night the bush spirit returns and kills the father. The clan then takes revenge and kills the bush spirit.  The moral of the story is that the deep forest is always a potentially dangerous place. One must always exercise caution. Certainly it is not the right place to eat large meals and then rest in a sound sleep without hearing warning noises. This is exactly what happened to the father. When transcribing the text with Margaret Osi, she told me that the father's sleeping position indicates deep sleep (Sequence \ref{ex:t2exvonuro}). So the father did not demonstrate the kind of behaviour required to withstand the challenges of the bush.  Some remarks to style and grammar of the narrator: Although grammatically mandatory, the narrator rarely uses the affixal dual of the verb. Instead, he often uses the prefix of accompaniment with a similar function. He also makes frequent use of topicalised pronouns for emphasis, while emphatic pronouns are not used. Furthermore, the text shows code-switching to Tok Pisin.  ",Andrew Wapi ,"Andrew Wapi . 2026. Pu paek. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",54,
B_07_4-sele,16,Ruri onona ruri pialna,"A woman and her husband were staying in a bush camp when she was seduced by a bush spirit. She gave birth to twins, a human-like child and a snake-like child. In the early years of their childhood, the two unequal brothers lived together peacefully. As young adults, however, the snake-like brother began to behave like a real bush spirit. When they both went hunting, it killed its human brother. The clueless parents find the snake at home and beat it to death. In the end, the parents lost both of their sons.  The story may convey the following message: A husband should always keep an eye on his wife. If she gets pregnant by some other man, the sons will fight over their rank. Murder and revenge may ruin the family.  There is repeated code switching to Tok Pisin, for example in Sequences \ref{ex:nrexloples}, \ref{ex:nrexilaiki}, \ref{ex:nrexlaikig}, \ref{ex:nrexpasimt}, and \ref{ex:nrexlukaut}. Andrew Wapi's personal Kilmeri style makes very frequent use of the subordinating verb form for backgrounding (12 times) and tail-head linkage (10 times) for discourse coherence. ",Andrew Wapi ,"Andrew Wapi . 2026. Ruri onona ruri pialna. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",50,
B_08_4-urai,17,Urai ako wiye,"When a married couple returned from a stay in the bush and a successful hunt, they encountered a crocodile while crossing a river. The woman was caught by the crocodile, which turned out to be a bush spirit. The villagers tried to free her from the evil spirit, but it had already eaten all but a few remains of this human meal. The remaining bodyparts were given a usual Christian burial. This story combines a death due to the old way of life with a newly introduced Christian custom.  Like all the large rivers in the area, the Puwani was also the habitat of crocodiles. The crocodile population must have been quite large, otherwise the crocodile hunters would not have come to the village. It therefore makes sense that there would have been crocodile attacks and villagers would have fallen victim to these predatory animals. It is likely that after a person was killed by a crocodile, other people tried to recover a limb or the head of the deceased by diving into the river, as the story tells us.  The narrative begins and ends in Tok Pisin. In the first sentence Andrew Wapi introduces himself as a story teller.   ",Andrew Wapi ,"Andrew Wapi . 2026. Urai ako wiye. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",33,
B_10_4-nana,19,Nana puyo seku,"This story is about the loss of a knife that was returned by a friendly spirit. The spirit lives at the bottom of the river into which the knife had fallen. This knife was only borrowed and the bearer was afraid that he would not be able to return it to its owner. Both journeys of the man Wau, who was eventually lucky, ended successfully: his journey down to the bottom of the river and the journey up and back to the village and to the owner of the knife. Interestingly, there seems to exist a kind of parallel world at the bottom of the river where people live. They go to work and come back from work. These underwater creatures are potentially dangerous for the visitor Wau and he is advised to leave this place as quickly as possible. Margaret Osi did not comment on the nature of the underwater people.  Kilmeri does not have a term for `lending, borrowing'. Instead, something is given \textit{biapno} `for a while' and the duration of use has to be negotiated. However, there is a clear obligation to return the borrowed item.  The opening formula of the text is in Tok Pisin. There are also some sentences in Tok Pisin later on.  ",Margaret Osi,"Margaret Osi. 2026. Nana puyo seku. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",23,
B_11_4-wisako,20,Wîs yako,"This story is a legend about the origin of the moon. People have always wondered how the light of the night came into being. Here, a beautiful but kleptomaniac woman abandoned her confused and sad husband and fled into the sky, where she became the moon. She was the man's second wife. His first wife had understood that she was not like other people. She warned the husband not to affront her and hide her. But he became jealous. So she decided to abandon the place and built a ladder to the sky.  The last two sequences of the story reflect the kindness as well as the usefulness of the moon. It turns the darkness of the night to light and enables people to move safely.  Moon stories are quite common in New Guinea. The moon is usually associated with a woman. But in some oral traditions, the human who changes to the moon is male, for example, in Muyu (\cite[33]{Zahrer:2025oj}). In a legend of the Orokolo (Gulf Province), sun and moon are two brothers; the moon is the younger brother. During the day, the sun is a beautiful young man. But during the night, the moon receives all the beautiful adornment and radiates like his older brother (\cite[42-26]{Kiki:1969tx}). Generally, I want to point to Beier's collection of Papuan tales about sun and moon (\cite{Beier:1974xu}).  ",Susam Bisam and Margaret Osi,"Susam Bisam and Margaret Osi. 2026. Wîs yako. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",25,
B_12_4-wis,21,Wîs puli,"At first, the moon was a light globe. It belonged to a woman who used to work at night. When other people saw what she was doing, they attempted to steal the light ball. But it escaped and found its way into the sky.  The story is probably longer than the version given here. The narrator knew the story as it was told to her by her mother. The mother's version was certainly more detailed. ",Brigitte Esau,"Brigitte Esau. 2026. Wîs puli. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",11,
B_13_4-mur,22,Nini na wîs,"This is a traditional story, which is widely known in the western part of Papua New Guinea. Probably, it originates from the Kopar and Watam people in the coastal area of the East Sepik province. Margaret Osi and Susan Bisam both knew the story. I asked Margaret to tell it in Kilmeri, and she did that without hesitation. For a more elaborated version of the story see \nocite{Slone:2001ux} \citet[591-592]{Slone:2001uz}: ``Why Cassowaries Do Not Fly Anymore''.   The cassowary is a flightless bird, although it has the phenotypic characteristics of a bird. This obvious discrepancy had to be explained and probably motivated people to invent a story. In Kilmeri folk taxonomy, cassowaries are not categorised as birds but as ground-living animals such as pigs, kangaroos, possums, rats, etc. ",Margaret Osi ,"Margaret Osi . 2026. Nini na wîs. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",4,
C_01_4-ais,23,Ai kopi basuiko,"Margaret's father is said to have died through the intervention of sorcerers, who caused him to die slowly through attack spells. The victim was still alive a few days after the attack, but it is said that he was still killed by the attack. Here Margaret adopts the widespread line of argument that a person's death is never caused by medical problems but by human intervention, especially sorcery (see \cite[14-15]{Gerstner-Link:2018un}). This position was not discussed between her and me.  The story begins with the wizards' ambush after her father Apai has had a happy hunting experience. Then the sick man is taken from the bush hut to Ninggera and from there to Pasi near Vanimo. Instead of seeking help at the hospital in Vanimo, he was taken further to the villages -- probably to Omoi -- and to his relatives. He soon died there and then was given a Christian burial. I was told that people still wish to die in their own village rather than in a foreign place. ",Margaret Osi ,"Margaret Osi . 2026. Ai kopi basuiko. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",19,
C_02_4-epek,24,Ruri Epek,"Sago processing is one of the women's main occupations. They take their babies or toddlers with them when they spend a day in the sago swamp. Sometimes the children are carried in a big bilum while they work, sometimes they are placed on a \textit{pangal} platform to sleep. This is an opportunity for the spirits to invade the child's mind and disturb its rest. The child can no longer be soothed by breastfeeding. A magical ritual must be performed with a specific plant to drive the spirits away. The leaves and bark used for the ritual could not be identified. The bark, which is chewed and spat on the child, may contain a calming substance.   One possible natural reason for the baby's restlessness is the omnipresent insects in the sago swamp and, to a lesser extent, in its own home. ",Margaret Osi ,"Margaret Osi . 2026. Ruri Epek. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",10,
C_03_4-lelo,25,Ko lelo piu no,"Processing sago is hard work. Normally you spend the whole day in the sago swamp. Often the family works together, but in this story it is only the mother and her young daughter who go to the swamp together. It is commonly assumed that children are fairly independent once they are able to walk properly and climb smaller palm trees. They would look for something to eat during the long hours in the swamp. When they were hungry, they would look for small animals such as geckos and frogs and roast them in the fire. Here Margaret Osi recalls her own childhood. Back then, she took pride in catching these small creatures, which would be the only food or sometimes a nice addition to a small portion of sago jelly prepared by her mother.  When I was invited to accompany Susan Bisam to the swamp, she cut down a young palm tree to eat the white flesh at its upper end. It looked like a 30 to 40 cm high cone and tasted fresh. It was a special treat for the children who had come with us. ",Margaret Osi ,"Margaret Osi . 2026. Ko lelo piu no. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",18,
